,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
730,LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,100,Blue,team,,,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,Lucian,Orianna,Nami,Poppy,Udyr,2507,0,14,14,28,14,14,0.0,0.0,0.0,0.0,1.0,,,,0.3351,0.6701,0.0,3.0,4.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,3.0,9.0,0.0,1.0,6.0,1.0,0.0,2.0,107963,2583.8771,,3484.7387,5798.1013,139,3.3267,71,1.6992,53,357,8.5441,72714,45765,1095.2932,,71150,-0.00478123,1.1,,1136.0,195,,,31.8548,16277.0,19016.0,360.0,14694.0,18973.0,317.0,1583.0,43.0,43.0,1.0,1.0,0.0,0.0,0.0,1.0,26441.0,30529.0,562.0,22526.0,29121.0,488.0,3915.0,1408.0,74.0,3.0,3.0,1.0,1.0,1.0,3.0
731,LOLTMNT02_22165,complete,,LCK,2024,Spring,0,2024-01-17 08:20:00,1,14.01,200,Red,team,,,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,,Ashe,Varus,Vi,Nocturne,Lee Sin,Milio,Azir,Aphelios,Jax,Gnar,2507,1,14,14,32,14,14,1.0,0.0,0.0,0.0,0.0,,,,0.3351,0.6701,1.0,4.0,3.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,9.0,3.0,1.0,0.0,1.0,6.0,2.0,0.0,119941,2870.5465,,3444.5313,3839.4974,154,3.6857,68,1.6274,69,370,8.8552,78964,52015,1244.8744,,71491,0.00478123,-1.1,,1124.0,260,,,33.1233,14694.0,18973.0,317.0,16277.0,19016.0,360.0,-1583.0,-43.0,-43.0,0.0,0.0,1.0,1.0,1.0,0.0,22526.0,29121.0,488.0,26441.0,30529.0,562.0,-3915.0,-1408.0,-74.0,1.0,1.0,3.0,3.0,3.0,1.0
732,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,1,Blue,top,Rascal,oe:player:9daf04bfd9c8815cc827414f59f45af,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Jax,K'Sante,Azir,LeBlanc,Twisted Fate,Ahri,,,,,,1710,0,2,3,0,2,12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0702,0.4912,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7454,261.5439,0.171723,812.8772,534.3509,12,0.4211,3,0.1053,4,25,0.8772,10431,6667,233.9298,0.261574,9483,,,214.0,210.0,4,,,7.5088,2772.0,4433.0,64.0,3411.0,5128.0,89.0,-639.0,-695.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,7146.0,112.0,5354.0,7957.0,143.0,-154.0,-811.0,-31.0,2.0,0.0,0.0,0.0,1.0,1.0
733,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,2,Blue,jng,Sponge,oe:player:3f4027dc08a489bd4d5390913f5dc71,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Xin Zhao,K'Sante,Azir,LeBlanc,Twisted Fate,Ahri,,,,,,1710,0,0,6,2,2,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0702,0.4912,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,6018,211.1579,0.138641,1104.1754,908.2456,10,0.3509,12,0.4211,9,42,1.4737,7819,4055,142.2807,0.159094,7175,,,150.0,20.0,130,,,5.2632,2981.0,3151.0,66.0,3101.0,3369.0,69.0,-120.0,-218.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4559.0,5102.0,94.0,4826.0,5394.0,100.0,-267.0,-292.0,-6.0,0.0,2.0,1.0,1.0,0.0,1.0
734,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,3,Blue,mid,SeTab,oe:player:4ff7b91bbc9492e9f96d28dda496653,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Akali,K'Sante,Azir,LeBlanc,Twisted Fate,Ahri,,,,,,1710,0,0,1,1,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0702,0.4912,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10106,354.5965,0.23282,770.0351,474.5965,9,0.3158,0,0.0,7,20,0.7018,9084,5320,186.6667,0.208726,8835,,,228.0,228.0,0,,,8.0,3181.0,5008.0,85.0,3233.0,4964.0,83.0,-52.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4817.0,7306.0,129.0,5335.0,7978.0,146.0,-518.0,-672.0,-17.0,0.0,1.0,0.0,0.0,0.0,0.0
735,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,4,Blue,bot,Teddy,oe:player:2b5fa564a1259b97bc238fbfa719b07,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Lucian,K'Sante,Azir,LeBlanc,Twisted Fate,Ahri,,,,,,1710,0,0,2,0,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0702,0.4912,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,12960,454.7368,0.298569,429.2281,255.2632,13,0.4561,13,0.4561,3,32,1.1228,10524,6760,237.193,0.265223,10250,,,269.0,269.0,0,,,9.4386,3295.0,2975.0,86.0,3162.0,2777.0,83.0,133.0,198.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5165.0,5255.0,137.0,4902.0,5131.0,132.0,263.0,124.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
736,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,5,Blue,sup,Pleata,oe:player:7fdedd3126915607d5c8f42f8239253,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Nami,K'Sante,Azir,LeBlanc,Twisted Fate,Ahri,,,,,,1710,0,0,0,2,2,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0702,0.4912,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6869,241.0175,0.158246,229.8246,97.0877,37,1.2982,9,0.3158,10,63,2.2105,6450,2686,94.2456,0.105383,6050,,,33.0,33.0,0,,,1.1579,2344.0,2584.0,14.0,2274.0,2705.0,15.0,70.0,-121.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3711.0,3768.0,20.0,3389.0,3828.0,21.0,322.0,-60.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0
737,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,6,Red,top,DnDn,oe:player:341e10748bb6d388250fd1f013e45a4,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Udyr,Ashe,Kalista,Orianna,Nocturne,Lee Sin,,,,,,1710,1,2,1,7,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4211,0.4912,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20096,705.1228,0.276287,689.7895,2217.7193,21,0.7368,3,0.1053,12,33,1.1579,12103,8339,292.5965,0.229062,11000,,,260.0,258.0,2,,,9.1228,3411.0,5128.0,89.0,2772.0,4433.0,64.0,639.0,695.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5354.0,7957.0,143.0,5200.0,7146.0,112.0,154.0,811.0,31.0,0.0,1.0,1.0,2.0,0.0,0.0
738,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,7,Red,jng,Sylvie,oe:player:1a75a7cf8c98442be881fed562346f5,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Vi,Ashe,Kalista,Orianna,Nocturne,Lee Sin,,,,,,1710,1,3,1,5,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211,0.4912,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,8315,291.7544,0.114318,783.2982,1160.6316,13,0.4561,12,0.4211,13,54,1.8947,10340,6576,230.7368,0.180635,9200,,,178.0,16.0,162,,,6.2456,3101.0,3369.0,69.0,2981.0,3151.0,66.0,120.0,218.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4826.0,5394.0,100.0,4559.0,5102.0,94.0,267.0,292.0,6.0,1.0,0.0,1.0,0.0,2.0,1.0
739,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,8,Red,mid,Callme,oe:player:87f7503a6cdacffa612aeee7f04cc7c,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Taliyah,Ashe,Kalista,Orianna,Nocturne,Lee Sin,,,,,,1710,1,3,0,8,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211,0.4912,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,24508,859.9298,0.336945,413.7193,306.9123,11,0.386,5,0.1754,9,30,1.0526,12774,9010,316.1404,0.247493,11325,,,279.0,257.0,22,,,9.7895,3233.0,4964.0,83.0,3181.0,5008.0,85.0,52.0,-44.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5335.0,7978.0,146.0,4817.0,7306.0,129.0,518.0,672.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0
740,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,9,Red,bot,Jiwoo,oe:player:8643b56ba8000250b81fdaca1d7f06e,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Aphelios,Ashe,Kalista,Orianna,Nocturne,Lee Sin,,,,,,1710,1,4,0,4,12,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211,0.4912,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,17427,611.4737,0.239592,322.6316,542.4912,13,0.4561,15,0.5263,5,51,1.7895,12343,8579,301.0175,0.235654,10350,,,260.0,252.0,8,,,9.1228,3162.0,2777.0,83.0,3295.0,2975.0,86.0,-133.0,-198.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4902.0,5131.0,132.0,5165.0,5255.0,137.0,-263.0,-124.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
741,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,10,Red,sup,Peter,oe:player:ee051912ad5f9a97aa9ce4980cbb481,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Milio,Ashe,Kalista,Orianna,Nocturne,Lee Sin,,,,,,1710,1,0,0,10,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211,0.4912,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,2390,83.8596,0.0328586,161.3684,70.807,42,1.4737,10,0.3509,12,84,2.9474,7665,3901,136.8772,0.107156,6800,,,28.0,28.0,0,,,0.9825,2274.0,2705.0,15.0,2344.0,2584.0,14.0,-70.0,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3389.0,3828.0,21.0,3711.0,3768.0,20.0,-322.0,60.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
742,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,100,Blue,team,,,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,,K'Sante,Azir,LeBlanc,Twisted Fate,Ahri,Lucian,Nami,Akali,Jax,Xin Zhao,1710,0,2,12,5,2,12,1.0,0.0,0.0,0.0,1.0,,,,0.0702,0.4912,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,4.0,0.0,1.0,43407,1523.0526,,3346.1404,2269.5439,81,2.8421,37,1.2982,33,182,6.386,44308,25488,894.3158,,41793,-0.152142,-1.45,,760.0,134,,,31.3684,14573.0,18151.0,315.0,15181.0,18943.0,339.0,-608.0,-792.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,23452.0,28577.0,492.0,23806.0,30288.0,542.0,-354.0,-1711.0,-50.0,2.0,5.0,1.0,1.0,1.0,2.0
743,LOLTMNT02_21206,complete,,LCK,2024,Spring,0,2024-01-17 09:25:01,2,14.01,200,Red,team,,,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,,Ashe,Kalista,Orianna,Nocturne,Lee Sin,Milio,Vi,Aphelios,Udyr,Taliyah,1710,1,12,2,34,12,2,1.0,0.0,0.0,0.0,0.0,,,,0.4211,0.4912,0.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,72736,2552.1404,,2370.807,4298.5614,100,3.5088,45,1.5789,51,252,8.8421,55225,36405,1277.3684,,48675,0.152142,1.45,,811.0,194,,,35.2632,15181.0,18943.0,339.0,14573.0,18151.0,315.0,608.0,792.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,23806.0,30288.0,542.0,23452.0,28577.0,492.0,354.0,1711.0,50.0,1.0,1.0,2.0,2.0,5.0,1.0
744,LOLTMNT02_22225,complete,,LCK,2024,Spring,0,2024-01-17 11:06:26,1,14.01,1,Blue,top,Kiin,oe:player:03daae1844b9ad257324c3eedf41e28,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,K'Sante,Ashe,Renata Glasc,Orianna,Nocturne,Lee Sin,,,,,,1739,0,1,2,0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.138,0.345,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,10816,373.18,0.240009,701.7826,1378.2059,11,0.3795,6,0.207,5,35,1.2076,9528,5705,196.8373,0.202535,9525,,,236.0,236.0,0,,,8.1426,2942.0,4928.0,74.0,3606.0,5176.0,96.0,-664.0,-248.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,4813.0,7615.0,131.0,5527.0,8120.0,138.0,-714.0,-505.0,-7.0,0.0,0.0,1.0,0.0,1.0,1.0
